este trabalho e agradavel,alegria
gosto de ficar no seu aconchego,alegria
fiz a adesao ao curso hoje,alegria
eu sou admirada por muitos,alegria
adoro como voce e,alegria
adoro seu cabelo macio,alegria
adoro a cor dos seus olhos,alegria
somo tao amaveis um com o outro,alegria
sinto uma grande afeto por ele,alegria
quero agradar meus filhos,alegria
me sinto completamente amado,alegria
eu amo voce,alegria
que grande alivio,alegria
a dor esta amenizando finalmente,alegria
acho que me apaixonei,alegria
amar e maravilhoso,alegria
estou me sentindo muito animada,alegria
me sinto muito bem hoje,alegria
como o luar e belo,alegria
o dia esta muito bonito,alegria
nossa como sou afortunado,alegria
as maravilhas do mundo,alegria
recebi muito carinho hoje do meus colegas,alegria
estou me sentindo reconfortada hoje,alegria
e muito bom estar com os amigos,alegria
estou muito contente com o resultado dos testes,alegria
essa pintura esta bem brilhante,alegria
temos agua em abundancia,alegria
que roupa delicada,alegria
voce e um grande comediante,alegria
que bondade a sua em vir aqui,alegria
o amor e lindo,alegria
nossa amizade vai durar para sempre,alegria
estou euforica com a noticia,alegria
ele e realmente fiel a mim,alegria
vou dar uma grande festa para comemorar meu aniversario,alegria
gracas a deus que eu enxerguei o certo,alegria
essa e a melhor escolhas de todas,alegria
o mais incrivel e voce minha bela,alegria
e tao engracado tentar explicar,alegria
e emocionante estar neste lugar,alegria
estou cativada pelo seu olhar,alegria
estou loucamente apaixonada,alegria
eu nunca tive duvidas,alegria
estou rodeada pelo seu abraco,alegria
eu vejo estrelas pelo caminho,alegria
eu sinto o sol sempre que voce esta por perto,alegria
eu estou sorrindo de orelha a orelha,alegria
isso vale a pena,alegria
finalmente voce colocou meu amor em primeiro lugar,alegria
nos andamos noite adentro,alegria
seu amor e brilhante,alegria
toquei muitos coracoes durante o meu caminho,alegria
eu serei sua amiga e companheira,alegria
voce me traz de volta a vida,alegria
voce e como um sonho doce,alegria
adoro este doce de frutas,alegria
meu suco favorito,alegria
estou agradecida pela ajuda,alegria
e um enorme prazer ter voce em nossa equipe,alegria
trabalhar em equipe e o melhor,alegria
me sinto flutuando no ar,alegria
a brisa esta agradavel hoje,alegria
otimo e compativel,alegria
somos compativeis um com o outro,alegria
o orgao e compativel com o paciente,alegria
estou contente fui aceita na faculdade,alegria
fui aprovada no meu exame,alegria
fui beneficiada pela minha empresa,alegria
eu sou muito cativante,alegria
estou contente com o apoio,alegria
como este lugar e confortivel,alegria
e bom estar quente neste frio,alegria
um elogio nunca e demais,alegria
vou te chamar para comemorar,alegria
e desejavel a sua presenca em nossa apresentacao,alegria
sou muito grata a voce,alegria
me dedico muito naquilo que fato,alegria
estou completamente apaixonada ,alegria
vamos agitar essa noite ,alegria
voce significa muito para mim,alegria
vamos agir sem preconceitos e julgamentos,alegria
finalmente completei a minha colecao maravilhoso,alegria
eu sou sua rainha ,alegria
satisfatoriamente eu anuncio o vencedor dos jogos,alegria
voce me atrai facilmente ,alegria
aquele rapaz e extremamente atraente,alegria
sinto-me viva ,alegria
sinto-me em paz ,alegria
estamos tendo muito lucro,alegria
muito bem esta tudo em ordem agora ,alegria
podemos arrumar um emprego juntos ,alegria
a arrumacao esta terminada que alivio,alegria
o cancer e benigno ,alegria
o amor e abundante,alegria
vamos ser caridosos este natal,alegria
com todo esse charme voce ira atrair a todos,alegria
nossa como voce e charmoso querido ,alegria
sou querida pelos meu amigos,alegria
seja cuidadoso com os meus sentimentos,alegria
estou comovido com tamanha caridade,alegria
um cha quente e reconfortante,alegria
que alegria ter voces aqui ,alegria
vamos aplaudir o vencedor ,alegria
palmas para a aniversariante,alegria
desejo a voce tudo de bom,alegria
hora de apreciar um bom vinho,alegria
aprecio sua presenca em minha escola,alegria
anseio por seus proximos trabalhos,alegria
maravilhoso jogo amistoso,alegria
e otimo que os inimos tenham se apaziguado,alegria
concretizei finalmente meu sonho,alegria
voce e abominavel,desgosto
abomino a maneira como voce age,desgosto
estou adoentado,desgosto
meu pai esta adoentado,desgosto
estamos todos doentes,desgosto
essa situacao e muito amarga,desgosto
disse adeus amargamente,desgosto
tenho antipatia por aquela pessoa,desgosto
como pode ser tao antipatica!,desgosto
que horrovel seu asqueroso,desgosto
tenho aversao agente como voce,desgosto
isso tudo e so chateacao,desgosto
estou muito chateada com suas mentiras,desgosto
tao desagradavel,desgosto
isso me desagrada completamente,desgosto
te desagrada isso,desgosto
estou com enjoos terriveis,desgosto
todos estao enfermos,desgosto
foi uma enfermidade terrevel,desgosto
isso e muito grave,desgosto
nao seja tao grosseiro,desgosto
voce fez uma manobra ilegal,desgosto
sua indecente nao tem vergonha?,desgosto
voce e malvado com as criancas,desgosto
que comentario maldoso,desgosto
sem escrupulos voce manipula a tudo,desgosto
sinto repulsa por voce,desgosto
e repulsivo a maneira como olha para as pessoas,desgosto
estou indisposta,desgosto
a indisposicao  me atacou hoje,desgosto
acho que vou vomitar,desgosto
tem muito vomito la,desgosto
que incomodo essa dor,desgosto
nao me incomode nunca mais,desgosto
suas bobagens estao nos incomodando,desgosto
que nojo olha toda essa sujeira,desgosto
como isso estasujo,desgosto
tenho nauseas so de lembrar,desgosto
me sinto nauseada com o cheiro desta comida,desgosto
voce esta obstruindo a passagem de ar,desgosto
voce esta terrivelmente doente,desgosto
olhe que feia esta roupa,desgosto
que atitude deploravel,desgosto
nossa como voce e feio,desgosto
muito mau tudo isso,desgosto
estou desgostoso com voce,desgosto
voce cortou o meu assunto,desgosto
para que tanta chateacao?,desgosto
esse perfume e enjoativo,desgosto
ser perigoso nao nada bom,desgosto
voce e perigoso demais para minha filhas,desgosto
que fetido este esgoto,desgosto
que fedido voce esta,desgosto
que cachorro malcheiroso,desgosto
hora que ultraje,desgosto
e ultrajante da sua parte,desgosto
situacao desagradavel essa,desgosto
voce so me da desgosto,desgosto
tenho aversao a pessoas assim,desgosto
antipatia e um mal da sociedade,desgosto
que criatura abominavel,desgosto
e depressiva a maneira como voce va o mundo,desgosto
me desagrada sua presensa na festa,desgosto
sinto asco dessa coisa,desgosto
que hediondo!,desgosto
vou golfar o cafe fora,desgosto
hora que garota detestavel!,desgosto
estou nauseada,desgosto
isso que voce disse foi muito grave,desgosto
nao seja obsceno na frente das criancas,desgosto
nao seja rude com as visitas,desgosto
esse assunto me da repulsa,desgosto
que crianca terrivelmente travessa,desgosto
que crianca mal educada,desgosto
estou indisposta te dar o divorcio,desgosto
taopatetico nao tem nada mais rude para dizer?,desgosto
por motivo torpe com emprego de meio cruel e com impossibilidade de defesa para a vitima,desgosto
a inveja e taovil e vergonhosa que ninguem se atreve a confess�-la,desgosto
o miseravel receio de ser sentimental e o mais vil de todos os receios modernos,desgosto
travesso gato quando fica com saudades do dono mija no sapato,desgosto
isso e um ato detestavel e covarde,desgosto
revelam apenas o que e destrutivo e detestavel para o povo,desgosto
nao sei como e a vida de um patife mais a de um homem honesto e abominavel,desgosto
ha coisas que temos que suportar para nao acharmos a vida insuportavel,desgosto
as injurias do tempo e as injusticas do homem,desgosto
odioso e desumano,desgosto
voce nao publicar conteudo odiento pornografico ou ameacador,desgosto
rancoroso e reprimido,desgosto
o virulento debate ente politicos,desgosto
eu imploro nao me matem!,medo
tem certeza que nao e perigoso?,medo
nao tenho certeza se e seguro,medo
tenho que correr pra nao me pegarem,medo
socorro! ele queria roubar os meus doces!,medo
esse cara estame perseguindo,medo
nao entro la e um lugar muito perigoso,medo
este lugar continua assustador,medo
na selva tem muitos animais perigosos,medo
avancem com cautela,medo
este lugar estasilencioso de mais cuidado!,medo
por favor deixe-me viver!,medo
vou ficar sem mesada se tirar nota baixa,medo
parece que tem olhos nos vigiando,medo
eu temo que a sentenca do juiz possa ser negativa,medo
mas essa missao e arriscada,medo
salvem-se quem puder!,medo
meu plano pode ser descoberto,medo
nao tive culpa juro nao fui eu,medo
tenho que tomar cuidado com o lobisomem,medo
se eu nao achar ele vai descobrir a verdade,medo
meu deus ele desapareceu!,medo
tomara que eles nao me vejam daqui!,medo
mantenha isso em segredo se descobrirem estaremos ferrados,medo
por favor me soltem eu sou inocente,medo
estou ouvindo passos atras de mim,medo
eu vou pedir socorro!,medo
cuidado com as curvas na estrada,medo
nao sei nao parece perigoso,medo
estou tremendo de medo!,medo
socorro eu vou cair!,medo
eu nao vou ate a floresta negra e muito perigoso,medo
ouço passos na minha direcao,medo
acho que estaarriscado de mais,medo
vamos voltar e muito perigoso,medo
fuja se nao acabaremos mortos,medo
receio por nao me livrar desta situacao,medo
socorro! ele estaarmado!,medo
ei cuidado voce vai bater no poste!,medo
socorro nos estamos afundando,medo
e serio cuidado com essa arma!,medo
os tubaroes estao atacando!,medo
sinto arrepios quando fico sozinho no escuro,medo
calma eu nao estou com o dinheiro,medo
eu acho que estou sendo enganado,medo
ligeiro temos que fugir depressa,medo
tem um crocodilo selvagem vindo para ca,medo
se ficarmos quietos eles nao vao nos achar,medo
fuja! o tigre parece faminto,medo
estou sem saida preciso de um milagre,medo
tire isso de mim! socorro!,medo
nao sei nadar vou me afogar!,medo
nao tenho certeza se e seguro,medo
vou apanhar se meus pais verem meu boletim,medo
nao consigo sair daqui!,medo
se sair taotarde poderei ser assaltada,medo
nao me deixe por favor!,medo
espere nao pode me largar aqui sozinho,medo
temo pela sua seguranca,medo
eu te entrego o dinheiro por favor nao me mate!,medo
ele vai levar todo o meu dinheiro,medo
nao dirija tao rapido assim,medo
me descobriram irao me prender!,medo
so espero que nao me falam nenhum mal,medo
vou me afogar me ajudem a sair da agua,medo
nao estaremos a salvo aqui,medo
nao quero nem pensar no que pode acontecer,medo
nessa cidade e uma desgraca atras da outra,medo
alguem esta me ligando estou assustado,medo
isso nao e remedio nao me matem,medo
eu nao confio nele tenho que ter cautela,medo
muita cautela,medo
vou ser descoberto meu deus,medo
receio que terei de ir,medo
a noite e muito perigosa,medo
estou estremecendo com essa casa,medo
olha aquela criatura se movendo monstruosamente,medo
nao aguento este suspense,medo
afugente os caes,medo
estou chocado e amedrontado com este assassinato brutal,medo
e preciso afugenta com impeto este medo do inferno,medo
seu politicos usam suas forcas para afugentar e amedrontar o povo,medo
o objetivo disso e apenas me amedrontar mais,medo
isso me apavora,medo
ele a feriu profundamente,raiva
vou despejar minha calera em voce,raiva
me sinto atormentado,raiva
nao me contrarie,raiva
vou destruir tudo  que foi construido,raiva
nao consigo terminar este trabalho e muito frustrante,raiva
me frustra a sua presensa aqui,raiva
esta comida me parece muito ruim,raiva
voce me destroi,raiva
estamos separados,raiva
estou odiando este vestido,raiva
nao pude comprar meu celular hoje,raiva
ela e uma garota ruim,raiva
estivemos em um show horroroso,raiva
o ingresso estava muito caro,raiva
se eu estragar tudo vai por agua a baixo,raiva
nao possuo dinheiro algum,raiva
sou muito pobre,raiva
vai prejudicar a todos esta nova medida,raiva
ficou ridiculo,raiva
este sapato esta muito apertado,raiva
a musica e uma ofensa aos meus ouvidos,raiva
nao consigo terminar uma tarefa muito dificil,raiva
reprovei em minha graduacao,raiva
estou muito chateado com tudo,raiva
eu odeio em voce,raiva
e um desprazer conhece-lo,raiva
estou desperdicando minhas ferias,raiva
e muito ruim este jogo,raiva
vamos ter muito rancor pela frente,raiva
nao achei que seria tao terrivel,raiva
vou vetar o orcamento ao cliente,raiva
meus pais nao consentiram nosso casamento,raiva
eu odiei este perfume,raiva
seu descaso e frustrante,raiva
me sinto completamente amarga,raiva
desprezo muito o seu trabalho,raiva
estamos descontentes por nossa familia,raiva
vou infernizar a sua empresa,raiva
estou furioso com estes valores,raiva
obrigaram o rapaz a sair,raiva
como ele pode deixar de lado?,raiva
sao apenas injurias sobre mim,raiva
estou enfurecido com a situacao dessa empresa,raiva
estou com o diabo no corpo,raiva
isso foi diabolico,raiva
tenho aversao a gente chata,raiva
nao vou perdoar sua traicao,raiva
esse dinheiro sujo e corrupto,raiva
eles me crucificam o tempo todo,raiva
eu vou enlouquecer com todo este barulho,raiva
nao aguento todo esse assedio,raiva
colera do dragao,raiva
isso e ridiculo!,raiva
da proxima vez vou inventar tudo sozinho,raiva
seus tolos! deixaram ele escapar!,raiva
jamais te perdoarei,raiva
o que e isso? outra multa,raiva
voce passou dos limites!,raiva
sente-se e cale a boca,raiva
ingratosvermes voces me pagam!,raiva
saiam da dai se nao arranco voces dai!,raiva
voce ja me causou problemas suficientes,raiva
isso foi a gota daagua,raiva
o que voce tem com isso?,raiva
nao vejo a hora de me livrar de voce,raiva
ja entendi a jogada seus safados!,raiva
voce nao merece piedade,raiva
saia de perto de mim,raiva
suma daqui ou arranco seu couro!,raiva
estou revoltado com essa situacao,raiva
seu idiota!,raiva
nao eu nao vou te emprestar dinheiro!,raiva
voce nao passa de um cafajeste! vai embora,raiva
pare de frescura e va trabalhar,raiva
eles merecem isso,raiva
ainda estou muito bravo com voce,raiva
eu preciso surrar aquela chantagista,raiva
olha o que voce fez! derramou!,raiva
voce estapedindo pra apanhar!,raiva
me deixa em paz!,raiva
morra maldito morra!,raiva
voce e mais irritante de perto,raiva
e bom fechar o bico,raiva
magicamente voce me surpreendeu,surpresa
e imenso esse globo,surpresa
isso e tremendamente interessante,surpresa
meu bilhete for sorteado inacreditavel!,surpresa
um assalto a mao armada!,surpresa
incrivel cabe em qualquer lugar!,surpresa
voce por aqui?,surpresa
nao da pra acreditar no que ela me contou,surpresa
os convidados ja estao chegando!,surpresa
puxa vida! nunca nos livramos de alguem taodepressa,surpresa
micha carteira sumiu eu estava com ela na mao,surpresa
oh! um disco voador,surpresa
amigos que bela surpresa!,surpresa
nunca pensei que veria isso e perto,surpresa
nem acredito que comi tanto,surpresa
nao acredito que veio me ver,surpresa
nao acredito que e  taodescarado,surpresa
me surpreende sua falta de tato,surpresa
o predio onde eles moravam desabou!,surpresa
inacreditavel um bolo taogrande,surpresa
e serio mesmo? nao da pra acreditar,surpresa
como assim nao vai ao nosso encontro?,surpresa
como assim nao tem ninguem em casa?,surpresa
ue mas para onde ele foi?!,surpresa
por essa eu nao esperava,surpresa
nossa olha so que mergulho,surpresa
minha esposa estagrA vida!,surpresa
meu dinheiro sumiu!,surpresa
e verdade que os dois terminaram?!?,surpresa
caramba nem vi voce chegar,surpresa
nossa como pode alguem cozinhar taomal?,surpresa
nossa que incrivel,surpresa
a formula sumiu!,surpresa
eu nem acredito que ja estou terminando o curso,surpresa
nao acredito que esta aqui comigo novamente,surpresa
estaescondendo algo de nos!,surpresa
como assim ainda nao terminou a tarefa,surpresa
pensei que ja estivesse pronta!,surpresa
opa! quem apagou a luz?,surpresa
caramba! aonde vai tao rapido?,surpresa
estamos seguindo o caminho errado!,surpresa
quatro reais o litro da gasolina!,surpresa
me assustei ao ve-lo desse jeito!,surpresa
minha mae estagra vida acredita nisso?,surpresa
parece mentira voce ter crescido tanto,surpresa
me surpreende sua imaginario,surpresa
suas roupas sao realmente lindas,surpresa
com consegue ser taobela?,surpresa
essa e realmente uma casa deslumbrante,surpresa
superou minhas expectativas,surpresa
e admiravel a maneira como se comporta,surpresa
isso e realmente chocante,surpresa
algumas noticias me surpreenderam no noticiario,surpresa
surpreendente sua festa,surpresa
estou tremendo de alegria,surpresa
chocou grande parte do mundo,surpresa
eu ficaria muito espantado com a sua vinda,surpresa
ele e admiravel,surpresa
sua beleza me surpreendeu,surpresa
seus olhos sao surpreendentemente verdes,surpresa
os politicos se surpreendem quando alguem acredita neles,surpresa
estou perplexa com essas denuncias,surpresa
fiquei perplexo com suas palavras,surpresa
estou abismado com sua prosa,surpresa
eu ficaria realmente abismado se me dissessem isso,surpresa
o grupo foi surpreendido enquanto lavava o carro,surpresa
